mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex,speaker_6_ID,speaker_6_sex,speaker_7_ID,speaker_7_sex,speaker_8_ID,speaker_8_sex,speaker_9_ID,speaker_9_sex,speaker_10_ID,speaker_10_sex
4014-186175-0021_6818-68772-0018_1898-145724-0037_254-12312-0015_3947-13260-0042_1594-135914-0027_7226-86964-0038_5688-15787-0036_2691-156755-0018_5750-100289-0031,4014,M,6818,F,1898,F,254,M,3947,F,1594,M,7226,M,5688,F,2691,F,5750,M
6415-116629-0030_196-122150-0037_289-121665-0008_7859-102518-0005_6848-252323-0024_2514-149482-0008_163-122947-0018_7517-100429-0017_5022-29411-0021_8629-261139-0036,6415,F,196,M,289,F,7859,F,6848,M,2514,M,163,M,7517,F,5022,F,8629,M
4788-94904-0035_5808-54425-0027_481-123719-0000_5163-39921-0046_27-124992-0075_1455-134435-0008_6209-34600-0034_311-124404-0001_7447-91187-0039_6563-63821-0046,4788,M,5808,M,481,M,5163,F,27,M,1455,M,6209,M,311,M,7447,M,6563,M
4830-25898-0005_2002-139469-0020_201-127786-0013_6880-216547-0087_1455-134435-0060_8838-298546-0025_5703-47212-0046_2691-156750-0012_1069-133709-0043_3168-173564-0000,4830,M,2002,M,201,M,6880,M,1455,M,8838,M,5703,M,2691,F,1069,F,3168,M
7226-86965-0024_1502-122619-0006_4406-16882-0052_8098-278252-0005_2514-149482-0054_7067-76047-0001_1723-141149-0064_328-129766-0074_6385-34669-0011_322-124147-0068,7226,M,1502,F,4406,M,8098,M,2514,M,7067,M,1723,M,328,F,6385,F,322,F
887-123289-0007_4406-16883-0024_4481-17498-0029_8123-275193-0019_3436-172171-0040_7517-100442-0031_19-227-0041_1867-154075-0003_3526-175658-0003_311-124404-0073,887,F,4406,M,4481,F,8123,F,3436,M,7517,F,19,F,1867,M,3526,F,311,M
7800-283492-0000_7780-274562-0013_5022-29411-0059_412-126975-0089_1926-147979-0007_1553-140048-0014_1334-135589-0077_6385-34655-0015_2989-138035-0028_460-172359-0068,7800,F,7780,F,5022,F,412,M,1926,F,1553,F,1334,M,6385,F,2989,F,460,M
8051-118101-0002_5390-30096-0032_196-122152-0031_1553-140048-0031_6529-62556-0020_1235-135883-0040_332-128985-0068_374-180299-0029_831-130739-0026_3440-171009-0060,8051,F,5390,M,196,M,1553,F,6529,M,1235,M,332,M,374,M,831,M,3440,F
403-128339-0003_8609-283227-0024_1737-146161-0002_4481-17498-0015_322-124147-0076_481-123720-0079_6531-61334-0032_211-122425-0002_3235-28452-0032_1235-135883-0042,403,F,8609,M,1737,F,4481,F,322,F,481,M,6531,F,211,F,3235,F,1235,M
196-122150-0000_6848-252323-0029_1594-135914-0106_2002-139469-0018_1992-141719-0044_2952-408-0001_4018-107312-0002_298-126791-0051_6818-68772-0041_8468-286673-0011,196,M,6848,M,1594,M,2002,M,1992,F,2952,M,4018,M,298,F,6818,F,8468,F
5778-54535-0012_887-123290-0026_1116-132847-0014_27-124992-0002_8468-286673-0025_6081-41997-0032_8465-246942-0007_4397-15666-0009_3242-67153-0018_5514-19192-0019,5778,F,887,F,1116,F,27,M,8468,F,6081,M,8465,F,4397,M,3242,M,5514,F
1502-122619-0036_426-122822-0026_60-121082-0071_40-222-0025_8123-275216-0002_3240-131231-0029_6000-55211-0015_2518-154826-0040_6437-66173-0005_5322-7678-0030,1502,F,426,F,60,M,40,F,8123,F,3240,M,6000,F,2518,M,6437,M,5322,M
7190-90542-0043_27-123349-0051_3830-12530-0020_1723-141149-0071_2092-145706-0018_3242-8112-0017_3526-176653-0005_1447-130552-0002_5789-57158-0002_5456-58161-0015,7190,M,27,M,3830,M,1723,M,2092,F,3242,M,3526,F,1447,F,5789,F,5456,M
481-123720-0072_8226-274369-0045_5867-48852-0029_4640-19189-0010_6563-285357-0011_5678-43303-0030_4481-17498-0023_6531-61334-0014_5192-19397-0047_39-121915-0001,481,M,8226,M,5867,F,4640,F,6563,M,5678,M,4481,F,6531,F,5192,M,39,F
460-172359-0088_7190-90542-0039_3983-5371-0039_332-128985-0063_8324-286683-0035_8312-279791-0000_4853-27671-0006_696-92939-0006_3857-180923-0012_4813-248638-0026,460,M,7190,M,3983,F,332,M,8324,F,8312,F,4853,F,696,F,3857,M,4813,M
6880-216547-0018_32-21634-0011_6272-70168-0022_3699-19402-0029_5463-39173-0015_83-9960-0028_2911-15045-0018_40-222-0037_150-126107-0007_7190-90543-0009,6880,M,32,F,6272,F,3699,M,5463,M,83,F,2911,M,40,F,150,F,7190,M
7113-86041-0030_1263-141777-0011_7178-34644-0005_2159-179156-0025_6367-65536-0065_2436-2476-0005_8098-275181-0033_1841-150351-0013_1246-135815-0020_1553-140047-0020,7113,F,1263,F,7178,F,2159,M,6367,M,2436,M,8098,M,1841,F,1246,F,1553,F
730-360-0001_2893-139322-0033_6078-54013-0001_2989-138035-0027_5808-54425-0056_405-130894-0006_39-121915-0003_1246-124548-0050_1098-133695-0011_5049-25947-0113,730,F,2893,M,6078,F,2989,F,5808,M,405,M,39,F,1246,F,1098,F,5049,M
3242-8112-0035_7312-92432-0018_2893-139322-0039_3440-171009-0062_6818-68772-0007_5104-33406-0021_4267-78186-0011_6272-70168-0007_2136-5147-0036_4018-107338-0029,3242,M,7312,M,2893,M,3440,F,6818,F,5104,M,4267,M,6272,F,2136,M,4018,M
87-121553-0036_7113-86041-0110_250-140277-0013_7067-76047-0009_163-122947-0009_6385-220959-0008_5778-12761-0046_1737-142397-0031_229-130880-0059_8630-305213-0036,87,F,7113,F,250,F,7067,M,163,M,6385,F,5778,F,1737,F,229,M,8630,M
1263-138246-0020_1898-145715-0003_1447-17506-0001_1081-125237-0032_89-218-0025_412-126975-0088_5678-43302-0008_8468-286673-0005_1737-148989-0030_1455-138263-0037,1263,F,1898,F,1447,F,1081,M,89,F,412,M,5678,M,8468,F,1737,F,1455,M
2007-132570-0014_8629-261140-0007_1737-142397-0025_4137-11702-0040_1455-138263-0022_89-218-0017_4830-25904-0037_8419-293469-0018_6415-100596-0003_2514-149482-0049,2007,F,8629,M,1737,F,4137,F,1455,M,89,F,4830,M,8419,M,6415,F,2514,M
831-130746-0031_7517-100429-0014_1970-10594-0022_1723-141149-0072_5688-15787-0032_5322-7680-0006_8014-112586-0002_4051-10927-0011_4397-15678-0011_233-134440-0053,831,M,7517,F,1970,F,1723,M,5688,F,5322,M,8014,F,4051,F,4397,M,233,M
7178-34644-0007_4898-28461-0002_2436-2481-0029_254-127705-0028_40-121026-0005_5049-25947-0051_7402-90848-0056_8095-274346-0005_6529-62556-0025_4018-103416-0002,7178,F,4898,M,2436,M,254,M,40,F,5049,M,7402,M,8095,M,6529,M,4018,M
6078-54007-0003_696-93314-0022_6476-57446-0061_4340-15220-0075_39-121914-0002_2416-152139-0046_6209-34599-0004_8312-279790-0019_1737-146161-0008_4441-76250-0008,6078,F,696,F,6476,F,4340,F,39,F,2416,F,6209,M,8312,F,1737,F,4441,M
