mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex
8095-274345-0026_322-124146-0019_1235-135887-0029_405-130894-0006_8123-275216-0003,8095,M,322,F,1235,M,405,M,8123,F
2416-152137-0033_5808-54425-0027_3440-171006-0005_8098-278278-0034_4018-107312-0012,2416,F,5808,M,3440,F,8098,M,4018,M
4680-16042-0018_5561-41615-0005_2691-156750-0029_6272-70171-0025_3168-173565-0013,4680,F,5561,F,2691,F,6272,F,3168,M
7148-7763-0030_7264-92310-0013_831-130739-0061_6078-54013-0039_2289-152254-0022,7148,F,7264,M,831,M,6078,F,2289,M
587-54108-0033_1963-142393-0053_5514-19192-0041_5561-41615-0022_3259-158083-0108,587,F,1963,F,5514,F,5561,F,3259,F
7302-86815-0079_2182-181173-0009_1334-135589-0000_1992-141719-0036_39-121915-0001,7302,F,2182,F,1334,M,1992,F,39,F
6385-34669-0026_5750-35690-0027_7367-86737-0051_289-121665-0041_8238-283452-0018,6385,F,5750,M,7367,M,289,F,8238,F
8797-294123-0051_730-360-0009_2436-2476-0033_4014-186176-0034_4640-19187-0023,8797,M,730,F,2436,M,4014,M,4640,F
5339-14134-0032_2952-408-0009_8095-274345-0032_2416-152137-0028_2182-181183-0010,5339,F,2952,M,8095,M,2416,F,2182,F
27-123349-0025_6064-56165-0004_6925-80680-0073_3664-178366-0017_1624-168623-0004,27,M,6064,F,6925,M,3664,M,1624,M
2911-15045-0002_2518-154826-0001_7264-92314-0006_4406-16883-0017_4088-158077-0041,2911,M,2518,M,7264,M,4406,M,4088,F
211-122425-0014_7511-102420-0027_5022-29405-0009_39-121914-0013_2764-36619-0036,211,F,7511,F,5022,F,39,F,2764,F
8630-305212-0029_1578-6379-0044_8123-275193-0008_1034-121119-0004_5867-48852-0111,8630,M,1578,F,8123,F,1034,M,5867,F
374-180298-0043_2436-2481-0028_1235-135883-0037_1553-140047-0051_6454-120342-0035,374,M,2436,M,1235,M,1553,F,6454,M
6531-61334-0099_150-126112-0002_1898-145715-0032_2764-36619-0040_3664-178355-0018,6531,F,150,F,1898,F,2764,F,3664,M
6272-70168-0029_458-126305-0028_3240-131231-0071_1034-121119-0092_8425-287387-0008,6272,F,458,M,3240,M,1034,M,8425,M
2196-170151-0025_5390-24512-0030_3486-166446-0012_8088-284756-0042_1502-122619-0045,2196,F,5390,M,3486,M,8088,M,1502,F
4481-17499-0018_8098-278252-0012_19-198-0037_2092-145706-0008_250-142286-0010,4481,F,8098,M,19,F,2092,F,250,F
2910-131096-0092_4051-11217-0014_1334-135589-0006_8630-305212-0039_3374-298026-0035,2910,F,4051,F,1334,M,8630,M,3374,M
1069-133709-0017_3699-19402-0009_2989-138028-0055_322-124147-0037_4362-15663-0012,1069,F,3699,M,2989,F,322,F,4362,F
6880-216547-0016_6563-285357-0042_3436-172171-0021_6272-70191-0007_125-121124-0024,6880,M,6563,M,3436,M,6272,F,125,F
730-360-0008_7402-90848-0016_911-128684-0090_83-9960-0032_6529-62554-0022,730,F,7402,M,911,M,83,F,6529,M
2817-142380-0004_3436-172162-0026_6836-61804-0031_2159-179156-0017_6437-66173-0048,2817,F,3436,M,6836,M,2159,M,6437,M
26-495-0015_2764-36617-0007_2159-179154-0038_1447-130551-0031_6415-111615-0005,26,M,2764,F,2159,M,1447,F,6415,F
460-172359-0058_5808-48608-0036_5514-19192-0002_7059-77900-0041_7113-86041-0024,460,M,5808,M,5514,F,7059,F,7113,F
2893-139322-0022_4297-13009-0049_587-54108-0028_1081-125237-0011_1553-140048-0038,2893,M,4297,F,587,F,1081,M,1553,F
2007-132570-0004_2691-156750-0024_198-126831-0044_6818-76332-0020_7078-271888-0030,2007,F,2691,F,198,F,6818,F,7078,F
248-130644-0028_1841-150351-0018_6078-54007-0038_2911-7601-0010_3242-67153-0012,248,F,1841,F,6078,F,2911,M,3242,M
